source_figure_id	chapter_slug	source_href	asset_path	media_type	alt_text	caption_text	notes
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-13	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-13.jpg	image/jpeg			source_asset_href=image_rsrc1JUG.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-14	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-14.jpg	image/jpeg			source_asset_href=image_rsrc1JUH.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-15	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-15.jpg	image/jpeg			source_asset_href=image_rsrc1JUJ.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-16	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-16.jpg	image/jpeg			source_asset_href=image_rsrc1JUK.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-17	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-17.jpg	image/jpeg			source_asset_href=image_rsrc1JUM.jpg
031-foreign-body-airway-obstruction-fig-01	031-foreign-body-airway-obstruction	cBXR.xhtml	source/figures-raw/031-foreign-body-airway-obstruction-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JUN.jpg
031-foreign-body-airway-obstruction-fig-02	031-foreign-body-airway-obstruction	cBXR.xhtml	source/figures-raw/031-foreign-body-airway-obstruction-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JUP.jpg
032-return-of-spontaneous-circulation-fig-01	032-return-of-spontaneous-circulation	cC75.xhtml	source/figures-raw/032-return-of-spontaneous-circulation-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JUR.jpg
033-termination-of-resuscitation-and-verification-of-death-in-adults-fig-01	033-termination-of-resuscitation-and-verification-of-death-in-adults	cCCP.xhtml	source/figures-raw/033-termination-of-resuscitation-and-verification-of-death-in-adults-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JUS.jpg
034-termination-of-resuscitation-and-verification-of-death-in-children-fig-01	034-termination-of-resuscitation-and-verification-of-death-in-children	cCX8.xhtml	source/figures-raw/034-termination-of-resuscitation-and-verification-of-death-in-children-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JUT.jpg
034-termination-of-resuscitation-and-verification-of-death-in-children-fig-02	034-termination-of-resuscitation-and-verification-of-death-in-children	cCX8.xhtml	source/figures-raw/034-termination-of-resuscitation-and-verification-of-death-in-children-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JUU.jpg
036-medical-emergencies-in-adults-overview-fig-01	036-medical-emergencies-in-adults-overview	cD56.xhtml	source/figures-raw/036-medical-emergencies-in-adults-overview-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JUV.jpg
036-medical-emergencies-in-adults-overview-fig-02	036-medical-emergencies-in-adults-overview	cD56.xhtml	source/figures-raw/036-medical-emergencies-in-adults-overview-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JUW.jpg
036-medical-emergencies-in-adults-overview-fig-03	036-medical-emergencies-in-adults-overview	cD56.xhtml	source/figures-raw/036-medical-emergencies-in-adults-overview-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JUX.jpg
038-abdominal-pain-fig-01	038-abdominal-pain	cEGY.xhtml	source/figures-raw/038-abdominal-pain-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JUY.jpg
039-acute-behavioural-disturbance-abd-fig-01	039-acute-behavioural-disturbance-abd	cFHF.xhtml	source/figures-raw/039-acute-behavioural-disturbance-abd-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JUZ.jpg
